"--At the start of the grid--","--At the start of the grid--"
"Add column","Add column"
After,After
"Are you sure you want to do this?","Are you sure you want to do this?"
"Attribute %s","Attribute %s"
"Catalog discount rules","Catalog discount rules"
"Configuration cannot be empty","Configuration cannot be empty"
"Configuration was deleted","Configuration was deleted"
"Configuration was saved","Configuration was saved"
"Configure attributes grid","Configure attributes grid"
"Configure catalog promotions grid","Configure catalog promotions grid"
"Configure customer grid","Configure customer grid"
"Configure product grid","Configure product grid"
"Customers grid","Customers grid"
"Delete configuration","Delete configuration"
"For the attributes grid there is no way to add columns between the existing columns because of the way it is built. Everything will be added at the beginning of the grid.","For the attributes grid there is no way to add columns between the existing columns because of the way it is built. Everything will be added at the beginning of the grid."
"Grid enhancer","Grid enhancer"
"Grid enhancer.","Grid enhancer."
"Helper not set","Helper not set"
"Hold on there buddy!\nDon't you think that's enough?\nYou will make the grid unreadable!","Hold on there buddy!\nDon't you think that's enough?\nYou will make the grid unreadable!"
"Manage Columns","Manage Columns"
"Manage attribute grid columns.","Manage attribute grid columns."
"Manage catalog promo grid columns.","Manage catalog promo grid columns."
"Manage customer grid columns.","Manage customer grid columns."
"Manage product grid columns.","Manage product grid columns."
"Products attributes grid","Products attributes grid"
"Products grid","Products grid"
Reset,Reset
Save,Save
